,Rank,Step,Value,Metric,Type,Agent
363,0,4500,0.9853515625,Accuracy,Reconstruction,baseline
367,0,4550,0.982177734375,Accuracy,Reconstruction,baseline
371,0,4600,0.98193359375,Accuracy,Reconstruction,baseline
375,0,4650,0.982177734375,Accuracy,Reconstruction,baseline
379,0,4700,0.981689453125,Accuracy,Reconstruction,baseline
383,0,4750,0.98388671875,Accuracy,Reconstruction,baseline
387,0,4800,0.985595703125,Accuracy,Reconstruction,baseline
391,0,4850,0.978759765625,Accuracy,Reconstruction,baseline
395,0,4900,0.982177734375,Accuracy,Reconstruction,baseline
399,0,4950,0.985107421875,Accuracy,Reconstruction,baseline
403,0,0,0.107177734375,Accuracy,Reconstruction,A
407,0,50,0.67822265625,Accuracy,Reconstruction,A
411,0,100,0.8154296875,Accuracy,Reconstruction,A
415,0,150,0.8583984375,Accuracy,Reconstruction,A
419,0,200,0.86181640625,Accuracy,Reconstruction,A
423,0,250,0.87353515625,Accuracy,Reconstruction,A
427,0,300,0.864501953125,Accuracy,Reconstruction,A
431,0,350,0.8662109375,Accuracy,Reconstruction,A
435,0,400,0.874267578125,Accuracy,Reconstruction,A
439,0,450,0.880615234375,Accuracy,Reconstruction,A
443,0,500,0.880859375,Accuracy,Reconstruction,A
447,0,550,0.880126953125,Accuracy,Reconstruction,A
451,0,600,0.885986328125,Accuracy,Reconstruction,A
455,0,650,0.881103515625,Accuracy,Reconstruction,A
459,0,700,0.88427734375,Accuracy,Reconstruction,A
463,0,750,0.8857421875,Accuracy,Reconstruction,A
467,0,800,0.888671875,Accuracy,Reconstruction,A
471,0,850,0.8935546875,Accuracy,Reconstruction,A
475,0,900,0.888916015625,Accuracy,Reconstruction,A
479,0,950,0.89599609375,Accuracy,Reconstruction,A
483,0,1000,0.895751953125,Accuracy,Reconstruction,A
487,0,1050,0.892578125,Accuracy,Reconstruction,A
491,0,1100,0.899658203125,Accuracy,Reconstruction,A
495,0,1150,0.904296875,Accuracy,Reconstruction,A
499,0,1200,0.897216796875,Accuracy,Reconstruction,A
503,0,1250,0.894287109375,Accuracy,Reconstruction,A
507,0,1300,0.9052734375,Accuracy,Reconstruction,A
511,0,1350,0.90283203125,Accuracy,Reconstruction,A
515,0,1400,0.8994140625,Accuracy,Reconstruction,A
519,0,1450,0.907958984375,Accuracy,Reconstruction,A
523,0,1500,0.897705078125,Accuracy,Reconstruction,A
527,0,1550,0.89794921875,Accuracy,Reconstruction,A
531,0,1600,0.910400390625,Accuracy,Reconstruction,A
535,0,1650,0.90283203125,Accuracy,Reconstruction,A
539,0,1700,0.903076171875,Accuracy,Reconstruction,A
543,0,1750,0.9111328125,Accuracy,Reconstruction,A
547,0,1800,0.910888671875,Accuracy,Reconstruction,A
551,0,1850,0.91650390625,Accuracy,Reconstruction,A
555,0,1900,0.916015625,Accuracy,Reconstruction,A
559,0,1950,0.902587890625,Accuracy,Reconstruction,A
563,0,2000,0.90771484375,Accuracy,Reconstruction,A
567,0,2050,0.905517578125,Accuracy,Reconstruction,A
571,0,2100,0.91357421875,Accuracy,Reconstruction,A
575,0,2150,0.92431640625,Accuracy,Reconstruction,A
