\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
\midrule
85  &  0.784 &    0.62 &   0.686 &   0.555 &  0.355 &  0.810166 \\
77  &  0.724 &   0.247 &   0.032 &    0.55 &  0.698 &  0.806342 \\
67  &  0.614 &    0.32 &   0.111 &   0.523 &  0.603 &  0.801788 \\
73  &  0.669 &   0.278 &   0.393 &   0.732 &  0.612 &  0.801120 \\
53  &   0.44 &   0.126 &   0.002 &   0.977 &   0.94 &  0.800971 \\
51  &  0.437 &   0.235 &   0.971 &   0.674 &  0.451 &  0.796058 \\
58  &  0.502 &   0.776 &   0.239 &   0.149 &  0.271 &  0.795704 \\
49  &  0.377 &    0.41 &   0.705 &   0.684 &  0.369 &  0.794704 \\
62  &  0.544 &   0.058 &   0.919 &   0.157 &   0.89 &  0.779613 \\
5   &  0.028 &   0.059 &   0.909 &   0.779 &  0.656 &  0.687882 \\
0   &      0 &       0 &       0 &       0 &      1 &  0.671483 \\
8   &   0.07 &   0.462 &     0.8 &   0.766 &  0.243 &  0.638596 \\
21  &   0.18 &   0.143 &   0.304 &   0.708 &  0.663 &  0.635171 \\
13  &  0.107 &   0.084 &   0.457 &    0.59 &  0.751 &  0.530405 \\
42  &  0.317 &   0.084 &   0.719 &   0.494 &  0.957 &  0.452676 \\
86  &  0.796 &   0.324 &   0.163 &   0.042 &  0.805 &  0.373697 \\
55  &  0.462 &   0.316 &   0.864 &   0.623 &  0.668 &  0.324890 \\
48  &  0.372 &   0.305 &   0.603 &   0.787 &  0.712 &  0.296503 \\
74  &  0.703 &   0.252 &   0.897 &   0.317 &  0.889 &  0.295897 \\
10  &  0.098 &    0.12 &   0.492 &   0.388 &  0.659 &  0.294907 \\
31  &  0.259 &   0.118 &   0.835 &   0.571 &  0.994 &  0.275856 \\
87  &  0.815 &   0.535 &   0.744 &   0.317 &  0.706 &  0.272785 \\
20  &  0.174 &   0.769 &   0.231 &   0.759 &  0.418 &  0.263559 \\
59  &  0.505 &   0.531 &   0.797 &    0.27 &  0.525 &  0.246912 \\
44  &  0.319 &   0.304 &   0.062 &   0.367 &  0.832 &  0.243802 \\
47  &  0.362 &   0.789 &   0.128 &   0.594 &  0.539 &  0.240072 \\
65  &  0.589 &   0.402 &   0.775 &   0.651 &  0.891 &  0.228248 \\
24  &  0.201 &   0.938 &   0.496 &    0.77 &  0.436 &  0.213338 \\
38  &  0.296 &   0.206 &   0.844 &   0.173 &  0.644 &  0.211818 \\
46  &  0.356 &   0.957 &   0.772 &   0.777 &  0.529 &  0.197633 \\
64  &  0.575 &    0.44 &   0.184 &   0.124 &  0.846 &  0.187537 \\
9   &  0.088 &   0.722 &   0.958 &   0.689 &  0.378 &  0.181704 \\
